"CA Owner","Certificate Name","Apple Status","Apple Trust Bits","Google Chrome Status","Microsoft Status","Microsoft EKUs For DTBs","Mozilla Status","Mozilla Trust Bits","SHA-256 Fingerprint"
"A-Trust","A-Trust-Root-07","Not Included","","Not Included","Included","Server Authentication","Not Yet Included","","8AC552AD577E37AD2C6808D72AA331D6A96B4B3FEBFF34CE9BC0578E08055EC3"
"AC Camerfirma, S.A.","Chambers of Commerce Root","Included","TLS Client;Email","Not Included","Included","Client Authentication;Secure Email;Time Stamping","Included","Email","0C258A12A5674AEF25F28BA7DCFAECEEA348E541E6F5CC4EE63B71B361606AC3"
"AC Camerfirma, S.A.","Chambers of Commerce Root - 2008","Included","TLS Client;Email","Not Included","Included","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Included","Email","063E4AFAC491DFD332F3089B8542E94617D893D7FE944E10A7937EE29D9693C0"
"AC Camerfirma, S.A.","CHAMBERS OF COMMERCE ROOT - 2016","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Not Yet Included","","04F1BEC36951BC1454A904CE32890C5DA3CDE1356B7900F6E62DFA2041EBAD51"
"AC Camerfirma, S.A.","Global Chambersign Root","Included","TLS Client;Email","Not Included","NotBefore","","Removed","","EF3CB417FC8EBF6F97876C9E4ECE39DE1EA5FE649141D1028B7D11C0B2298CED"
"AC Camerfirma, S.A.","Global Chambersign Root - 2008","Included","TLS Client;Email","Not Included","Included","Server Authentication;Client Authentication;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Included","Email","136335439334A7698016A0D324DE72284E079D7B5220BB8FBD747816EEBEBACA"
"AC Camerfirma, S.A.","GLOBAL CHAMBERSIGN ROOT - 2016","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Secure Email","Not Yet Included","","C1D80CE474A51128B77E794A98AA2D62A0225DA3F419E5C7ED73DFBF660E7109"
"Actalis","Actalis Authentication Root CA","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Websites;Email","55926084EC963A64B96E2ABE01CE0BA86A64FBFEBCC7AAB5AFC155B37FD76066"
"Agence Nationale de Certification Electronique","Tunisian Root Certificate Authority - TunRootCA2","Not Included","","Not Included","NotBefore","","Not Yet Included","","C795FF8FF20C966688F064A1E091421D3110A3456C17EC2404B998738741F622"
"Agence Nationale de Certification Electronique","TunTrust Root CA","Not Included","","Included","Included","Server Authentication;Client Authentication","Included","Websites","2E44102AB58CB85419451C8E19D9ACF3662CAFBC614B6A53960A30F7D0E2EB41"
"Agencia Notarial de Certificación (ANCERT)","ANCERT Certificados CGN V2","Not Included","","Not Included","Included","Client Authentication;Document Signing;Secure Email;Time Stamping","Not Yet Included","","F4336BC2AC75950BECCF1C1F2F9DA6DDDAFD1F41161CA71F59C76889BD474033"
"Agencia Notarial de Certificación (ANCERT)","ANCERT Certificados Notariales V2","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Document Signing;Secure Email;Time Stamping","Not Yet Included","","4BE8B5A1C76C6AEAD0611918FCCF9DBD398B67FB12294758BDF994D0F9682F60"
"Amazon Trust Services","Amazon Root CA 1","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Document Signing;Encrypting File System;Secure Email;Time Stamping","Included","Websites;Email","8ECDE6884F3D87B1125BA31AC3FCB13D7016DE7F57CC904FE1CB97C6AE98196E"
"Amazon Trust Services","Amazon Root CA 2","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Document Signing;Encrypting File System;Secure Email;Time Stamping","Included","Websites;Email","1BA5B2AA8C65401A82960118F80BEC4F62304D83CEC4713A19C39C011EA46DB4"
"Amazon Trust Services","Amazon Root CA 3","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Document Signing;Encrypting File System;Secure Email;Time Stamping","Included","Websites;Email","18CE6CFE7BF14E60B2E347B8DFE868CB31D02EBB3ADA271569F50343B46DB3A4"
"Amazon Trust Services","Amazon Root CA 4","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Document Signing;Encrypting File System;Secure Email;Time Stamping","Included","Websites;Email","E35D28419ED02025CFA69038CD623962458DA5C695FBDEA3C22B0BFB25897092"
"Amazon Trust Services","Starfield Services Root Certificate Authority - G2","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Included","Websites","568D6905A2C88708A4B3025190EDCFEDB1974A606A13C6E5290FCB2AE63EDAB5"
"Asseco Data Systems S.A. (previously Unizeto Certum)","Certum CA","Included","TLS Server;TLS Client;Email","Not Included","Included","Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Email","D8E0FEBC1DB2E38D00940F37D27D41344D993E734B99D5656D9778D4D8143624"
"Asseco Data Systems S.A. (previously Unizeto Certum)","Certum EC-384 CA","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Websites;Email","6B328085625318AA50D173C98D8BDA09D57E27413D114CF787A0F5D06C030CF6"
"Asseco Data Systems S.A. (previously Unizeto Certum)","Certum Trusted Network CA","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Included","Websites;Email","5C58468D55F58E497E743982D2B50010B6D165374ACF83A7D4A32DB768C4408E"
"Asseco Data Systems S.A. (previously Unizeto Certum)","Certum Trusted Network CA 2","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email","Included","Websites;Email","B676F2EDDAE8775CD36CB0F63CD1D4603961F49E6265BA013A2F0307B6D0B804"
"Asseco Data Systems S.A. (previously Unizeto Certum)","Certum Trusted Root CA","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Websites;Email","FE7696573855773E37A95E7AD4D9CC96C30157C15D31765BA9B15704E1AE78FD"
"Atos Trustcenter","Atos TrustedRoot 2011","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Included","Websites;Email","F356BEA244B7A91EB35D53CA9AD7864ACE018E2D35D5F8F96DDF68A6F41AA474"
"Autoridad de Certificacion Firmaprofesional","Autoridad de Certificacion Firmaprofesional CIF A62634068","Not Included","","Included","Included","Server Authentication;Client Authentication","Included","Websites;Email","57DE0583EFD2B26E0361DA99DA9DF4648DEF7EE8441C3B728AFA9BCDE0F9B26A"
"Autoridad de Certificacion Firmaprofesional","Autoridad de Certificacion Firmaprofesional CIF A62634068","Included","TLS Server;TLS Client;Email","Not Included","Included","Server Authentication;Client Authentication;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Included","Websites;Email","04048028BF1F2864D48F9AD4D83294366A828856553F3B14303F90147F5D40EF"
"Autoridad de Certificación (ANF AC)","ANF Secure Server Root CA","Not Included","","Included","Not Included","","Included","Websites","FB8FEC759169B9106B1E511644C618C51304373F6C0643088D8BEFFD1B997599"
"BEIJING CERTIFICATE AUTHORITY Co., Ltd.","BJCA Global Root CA1","Not Included","","Not Included","Not Included","","Included","Websites;Email","F3896F88FE7C0A882766A7FA6AD2749FB57A7F3E98FB769C1FA7B09C2C44D5AE"
"BEIJING CERTIFICATE AUTHORITY Co., Ltd.","BJCA Global Root CA2","Not Included","","Not Included","Not Included","","Included","Websites;Email","574DF6931E278039667B720AFDC1600FC27EB66DD3092979FB73856487212882"
"Buypass","Buypass Class 2 Root CA","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Included","Websites","9A114025197C5BB95D94E63D55CD43790847B646B23CDF11ADA4A00EFF15FB48"
"Buypass","Buypass Class 3 Root CA","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Included","Websites","EDF7EBBCA27A2A384D387B7D4010C666E2EDB4843E4C29B4AE1D5B9332E6B24D"
"Byte Computer S.A.","BYTE Root Certification Authority 001","Not Included","","Not Included","Included","Client Authentication;Document Signing;Secure Email;Time Stamping","Not Yet Included","","39AE2E6F304A6236BDF9066718DDC69E51AF5ED05A63F2EE8D80CA1D1CC8FE4F"
"Carillon Information Security Inc.","Carillon PKI Services G2 Root CA 1","Not Included","","Not Included","Included","Client Authentication;Document Signing;Secure Email;Time Stamping","Not Yet Included","","EE0EC4A0B5E6ECB865F49689B50E3DE38D4FD924A4041C0C2A62636DB0B6B31D"
"Carillon Information Security Inc.","CISRCA1","Not Included","","Not Included","NotBefore","","Not Yet Included","","12FF248372BD87E44ECE432198BE9B04525F33DEE00356FD646F8ACC01412F86"
"Certainly LLC","Certainly Root E1","Included","TLS Server;TLS Client","Included","Not Included","","Included","Websites","B4585F22E4AC756A4E8612A1361C5D9D031A93FD84FEBB778FA3068B0FC42DC2"
"Certainly LLC","Certainly Root R1","Included","TLS Server;TLS Client","Included","Not Included","","Included","Websites","77B82CD8644C4305F7ACC5CB156B45675004033D51C60C6202A8E0C33467D3A0"
"Certicámara","AC Raíz Certicámara S.A.","Not Included","","Not Included","Included","Client Authentication;Encrypting File System;IP Security End System;IP Security IKE Intermediate;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Not Yet Included","","D2A90E5D35CAC4D41F7D44CE66AFF885E1815FB339185853A87E66C05C9BEF1E"
"Certigna","Certigna","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;IP Security IKE Intermediate;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Included","Websites;Email","E3B6A2DB2ED7CE48842F7AC53241C7B71D54144BFB40C11F3F1D0B42F5EEA12D"
"Certigna","Certigna Root CA","Not Included","","Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Encrypting File System;Secure Email;Time Stamping","Included","Websites;Email","D48D3D23EEDB50A459E55197601C27774B9D7B18C94D5A059511A10250B93168"
"Certinomis / Docapost","Certinomis - Root CA","Blocked","","Not Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Removed","","2A99F5BC1174B73CBB1D620884E01C34E51CCB3978DA125F0E33268883BF4158"
"certSIGN","certSIGN ROOT CA","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Included","Websites;Email","EAA962C4FA4A6BAFEBE415196D351CCD888D4F53F3FA8AE6D7C466A94E6042BB"
"certSIGN","certSIGN Root CA G2","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Document Signing;Secure Email","Included","Websites","657CFE2FA73FAA38462571F332A2363A46FCE7020951710702CDFBB6EEDA3305"
"China Financial Certification Authority (CFCA)","CFCA EV ROOT","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Included","Websites","5CC3D78E4E1D5E45547A04E6873E64F90CF9536D1CCC2EF800F355C4C5FD70FD"
"China Financial Certification Authority (CFCA)","CFCA Identity CA","Not Included","","Not Included","Included","Document Signing","Not Yet Included","","FFB85C26308A961351249EA641F659D49F639E91DAED9C92D046CCDCECC93D2F"
"China Financial Certification Authority (CFCA)","China Financial CA","Not Included","","Not Included","NotBefore","","Not Yet Included","","0771920C8CB874D5C5A4DC0D6A51A2D495D38C4DE2CD5B83D2A06FAA051935F6"
"Chunghwa Telecom","Chunghwa Telecom Co., Ltd. - ePKI Root Certification Authority","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;IP Security IKE Intermediate;Secure Email;Time Stamping","Included","Websites;Email","C0A6F4DC63A24BFDCF54EF2A6A082A0A72DE35803E2FF5FF527AE5D87206DFD5"
"Chunghwa Telecom","ePKI Root Certification Authority - G2","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Document Signing;Secure Email;Time Stamping","Not Yet Included","","1E51942B84FD467BF77D1C89DA241C04254DC8F3EF4C22451FE7A89978BDCD4F"
"Chunghwa Telecom","ePKI Root Certification Authority - G4","Not Included","","Not Included","Included","Document Signing;Secure Email;Time Stamping","Not Yet Included","","19A2FA09332C6D8EAC1393D5F30371DD8B4DD687B0E1E50A6B48AE762CABA2B5"
"Chunghwa Telecom","HiPKI Root CA - G1","Not Included","","Included","Included","Server Authentication;Client Authentication","Included","Websites","F015CE3CC239BFEF064BE9F1D2C417E1A0264A0A94BE1F0C8D121864EB6949CC"
"Cisco","Cisco Root CA 2048","Included","Email","Not Included","NotBefore","","Not Yet Included","","8327BC8C9D69947B3DE3C27511537267F59C21B9FA7B613FAFBCCD53B7024000"
"Cisco","Cisco RXC-R2","Not Included","","Not Included","NotBefore","","Not Yet Included","","229CCC196D32C98421CC119E78486EEBEF603AECD525C6B88B47ABB740692B96"
"Collegio de Registradores Mercantile (Spanish Property & Commerce Registry)","Registradores de España - CA Raíz","Not Included","","Not Included","NotBefore","","Not Yet Included","","7D2BF3489EBC9AD3448B8B0827715A3CBFE3D523E3B56A9B5FC1D2A2DA2F20FE"
"ComSign","ComSign Global Root CA","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Not Yet Included","","2605875AFCC176B2D66DD66A995D7F8D5EBB86CE120D0E7E9E7C6EF294A27D4C"
"Consejo General de la Abogacía Española","ACA ROOT","Not Included","","Not Included","Included","Client Authentication;Secure Email;Time Stamping","Not Yet Included","","97F654859CBDE586FD90311E82EC7902C238CBA0D6E529564C9C88F44895EC50"
"Consorci Administració Oberta de Catalunya (Consorci AOC, CATCert)","EC-ACC","Not Included","","Not Included","Included","Client Authentication;Secure Email;Time Stamping","Removed","","88497F01602F3154246AE28C4D5AEF10F1D87EBB76626F4AE0B7F95BA7968799"
"Cybertrust Japan / JCSI","Cybertrust iTrust Root Certification Authority","Not Included","","Not Included","Included","Document Signing;Secure Email","Not Yet Included","","E90DBEB2D360CC6F98994EEFC68C4147F2DFD9C68A3BF063C6A971F3E11BAF4E"
"Cybertrust Japan / JCSI","SecureSign Root CA12","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Secure Email","Not Yet Included","","3F034BB5704D44B2D08545A02057DE93EBF3905FCE721ACBC730C06DDAEE904E"
"Cybertrust Japan / JCSI","SecureSign Root CA14","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Secure Email","Not Yet Included","","4B009C1034494F9AB56BBA3BA1D62731FC4D20D8955ADCEC10A925607261E338"
"Cybertrust Japan / JCSI","SecureSign Root CA15","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Secure Email","Not Yet Included","","E778F0F095FE843729CD1A0082179E5314A9C291442805E1FB1D8FB6B8886C3A"
"Cybertrust Japan / JCSI","SecureSign RootCA11","Not Included","","Included","Included","Client Authentication;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Included","Websites","BF0FEEFB9E3A581AD5F9E9DB7589985743D261085C4D314F6F5D7259AA421612"
"D-TRUST","D-TRUST BR Root CA 1 2020","Not Included","","Included","Not Included","","Included","Websites","E59AAA816009C22BFF5B25BAD37DF306F049797C1F81D85AB089E657BD8F0044"
"D-TRUST","D-TRUST EV Root CA 1 2020","Not Included","","Included","Not Included","","Included","Websites","08170D1AA36453901A2F959245E347DB0C8D37ABAABC56B81AA100DC958970DB"
"D-TRUST","D-TRUST Root CA 3 2013","Included","TLS Server;TLS Client;Email","Not Included","Included","Client Authentication;Secure Email","Included","Email","A1A86D04121EB87F027C66F53303C28E5739F943FC84B38AD6AF009035DD9457"
"D-TRUST","D-TRUST Root Class 3 CA 2 2009","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Included","Websites","49E7A442ACF0EA6287050054B52564B650E4F49E42E348D6AA38E039E957B1C1"
"D-TRUST","D-TRUST Root Class 3 CA 2 EV 2009","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Included","Websites","EEC5496B988CE98625B934092EEC2908BED0B0F316C2D4730C84EAF1F3D34881"
"DATEV eG","CA DATEV BT 03","Not Included","","Not Included","NotBefore","","Not Yet Included","","0C0B6B2BD1EDD7B27FEAD157F8E846B335B784A39F06C47216C8746F64C5CEDA"
"DATEV eG","CA DATEV INT 03","Not Included","","Not Included","NotBefore","","Not Yet Included","","8BA1BD9C88EFB3947E60EBE21137F81DF7F09994CEF27F097055018B8194C634"
"DATEV eG","CA DATEV STD 03","Not Included","","Not Included","NotBefore","","Not Yet Included","","54AE8A683FE2D78FF1EF0E0B3F58425092953BA08C67FE4A95595D1CEBCDCB30"
"Department of Defence Australia","Australian Defence Public Root CA","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Encrypting File System;IP Security End System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Not Yet Included","","209E956AF04DF3996507C887D356230D6EB49FDBDD2D8A058FF50B8F80F690AA"
"Deutsche Telekom Security GmbH","T-TeleSec GlobalRoot Class 2","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Secure Email","Included","Websites;Email","91E2F5788D5810EBA7BA58737DE1548A8ECACD014598BC0B143E041B17052552"
"Deutsche Telekom Security GmbH","T-TeleSec GlobalRoot Class 3","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Secure Email","Included","Websites","FD73DAD31C644FF1B43BEF0CCDDA96710B9CD9875ECA7E31707AF3E96D522BBD"
"DigiCert","Baltimore CyberTrust Root","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Websites;Email","16AF57A9F676B0AB126095AA5EBADEF22AB31119D644AC95CD4B93DBF3F26AEB"
"DigiCert","DigiCert Assured ID Root CA","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Websites;Email","3E9099B5015E8F486C00BCEA9D111EE721FABA355A89BCF1DF69561E3DC6325C"
"DigiCert","DigiCert Assured ID Root G2","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Websites;Email","7D05EBB682339F8C9451EE094EEBFEFA7953A114EDB2F44949452FAB7D2FC185"
"DigiCert","DigiCert Assured ID Root G3","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Included","Websites;Email","7E37CB8B4C47090CAB36551BA6F45DB840680FBA166A952DB100717F43053FC2"
"DigiCert","DigiCert Client ECC P384 Root G5","Not Included","","Not Included","Included","Client Authentication","Not Yet Included","","CD851C5C25467C0095A43927D0B2292D932975E84DCE4C5E794542C6574C3AA4"
"DigiCert","DigiCert Client RSA4096 Root G5","Not Included","","Not Included","Included","Client Authentication","Not Yet Included","","3AF21466920FA91FA31F4331E445C16BE2330024BFD2C239C0D85AB530714766"
"DigiCert","DigiCert CS ECC P384 Root G5","Not Included","","Not Included","Included","Code Signing;Time Stamping","Not Yet Included","","26C56AD2208D1E9B152F66853BF4797CBEB7552C1F3F477251E8CB1AE7E797BF"
"DigiCert","DigiCert CS RSA4096 Root G5","Not Included","","Not Included","Included","Code Signing;Time Stamping","Not Yet Included","","7353B6D6C2D6DA4247773F3F07D075DECB5134212BEAD0928EF1F46115260941"
"DigiCert","DigiCert ECC P384 Root G5","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","Not Yet Included","","C1468CF2254E6004B24696ABA209D1A30BA6E2DFF68A9A4E32C6AB414F90C8D9"
"DigiCert","DigiCert Global Root CA","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Included","Websites;Email","4348A0E9444C78CB265E058D5E8944B4D84F9662BD26DB257F8934A443C70161"
"DigiCert","DigiCert Global Root G2","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Included","Websites;Email","CB3CCBB76031E5E0138F8DD39A23F9DE47FFC35E43C1144CEA27D46A5AB1CB5F"
"DigiCert","DigiCert Global Root G3","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Websites;Email","31AD6648F8104138C738F39EA4320133393E3A18CC02296EF97C2AC9EF6731D0"
"DigiCert","DigiCert High Assurance EV Root CA","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Websites;Email","7431E5F4C3C1CE4690774F0B61E05440883BA9A01ED00BA6ABD7806ED3B118CF"
"DigiCert","DigiCert RSA4096 Root G5","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","Not Yet Included","","E46A392204A8DCA342A71C1CA9A60C9185B9A930370120C3B9C7E3856F0D8F3B"
"DigiCert","DigiCert SMIME ECC P384 Root G5","Not Included","","Not Included","Included","Client Authentication;Secure Email","Included","Email","E8E8176536A60CC2C4E10187C3BEFCA20EF263497018F566D5BEA0F94D0C111B"
"DigiCert","DigiCert SMIME RSA4096 Root G5","Not Included","","Not Included","Included","Client Authentication;Secure Email","Included","Email","90370D3EFA88BF58C30105BA25104A358460A7FA52DFC2011DF233A0F417912A"
"DigiCert","DigiCert TLS ECC P384 Root G5","Not Included","","Included","Included","Server Authentication;Client Authentication","Included","Websites","018E13F0772532CF809BD1B17281867283FC48C6E13BE9C69812854A490C1B05"
"DigiCert","DigiCert TLS RSA4096 Root G5","Not Included","","Included","Included","Server Authentication;Client Authentication","Included","Websites","371A00DC0533B3721A7EEB40E8419E70799D2B0A0F2C1D80693165F7CEC4AD75"
"DigiCert","DigiCert Trusted Root G4","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Websites;Email","552F7BDCF1A7AF9E6CE672017F4F12ABF77240C78E761AC203D1D9D20AC89988"
"DigiCert","GeoTrust Primary Certification Authority","Blocked","","Not Included","NotBefore","","Removed","","37D51006C512EAAB626421F1EC8C92013FC5F82AE98EE533EB4619B8DEB4D06C"
"DigiCert","GeoTrust Primary Certification Authority - G2","Blocked","","Not Included","NotBefore","","Removed","","5EDB7AC43B82A06A8761E8D7BE4979EBF2611F7DD79BF91C1C6B566A219ED766"
"DigiCert","GeoTrust Primary Certification Authority - G3","Blocked","","Not Included","NotBefore","","Removed","","B478B812250DF878635C2AA7EC7D155EAA625EE82916E2CD294361886CD1FBD4"
"DigiCert","GeoTrust Universal CA","Not Included","","Not Included","NotBefore","","Removed","","A0459B9F63B22559F5FA5D4C6DB3F9F72FF19342033578F073BF1D1B46CBB912"
"DigiCert","Hotspot 2.0 Trust Root CA - 03","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Secure Email","Not Yet Included","","A3CC68595DFE7E86D8AD1772A8B5284ADD54ACE3B8A798DF47BCCAFB1FDB84DF"
"DigiCert","Symantec Class 1 Public Primary Certification Authority - G6","Blocked","","Not Included","Included","Client Authentication;Secure Email","Included","Email","9D190B2E314566685BE8A889E27AA8C7D7AE1D8AADDBA3C1ECF9D24863CD34B9"
"DigiCert","Symantec Class 2 Public Primary Certification Authority - G6","Blocked","","Not Included","Included","Client Authentication;Secure Email","Included","Email","CB627D18B58AD56DDE331A30456BC65C601A4E9B18DEDCEA08E7DAAA07815FF0"
"DigiCert","Symantec Class 3 Public Primary Certification Authority - G6","Blocked","","Not Included","NotBefore","","Not Yet Included","","B32396746453442F353E616292BB20BBAA5D23B546450FDB9C54B8386167D529"
"DigiCert","thawte Primary Root CA","Blocked","","Not Included","NotBefore","","Removed","","8D722F81A9C113C0791DF136A2966DB26C950A971DB46B4199F4EA54B78BFB9F"
"DigiCert","thawte Primary Root CA - G2","Blocked","","Not Included","NotBefore","","Removed","","A4310D50AF18A6447190372A86AFAF8B951FFB431D837F1E5688B45971ED1557"
"DigiCert","thawte Primary Root CA - G3","Blocked","","Not Included","NotBefore","","Removed","","4B03F45807AD70F21BFC2CAE71C9FDE4604C064CF5FFB686BAE5DBAAD7FDD34C"
"DigiCert","VeriSign Class 1 Public Primary Certification Authority - G3","Blocked","","Not Included","Included","Client Authentication;Secure Email","Included","Email","CBB5AF185E942A2402F9EACBC0ED5BB876EEA3C1223623D00447E4F3BA554B65"
"DigiCert","VeriSign Class 2 Public Primary Certification Authority - G3","Blocked","","Not Included","Included","Client Authentication;Secure Email","Included","Email","92A9D9833FE1944DB366E8BFAE7A95B6480C2D6C6C2A1BE65D4236B608FCA1BB"
"DigiCert","VeriSign Class 3 Public Primary Certification Authority - G3","Blocked","","Not Included","NotBefore","","Removed","","EB04CF5EB1F39AFA762F2BB120F296CBA520C1B97DB1589565B81CB9A17B7244"
"DigiCert","VeriSign Class 3 Public Primary Certification Authority - G5","Blocked","","Not Included","NotBefore","","Removed","","9ACFAB7E43C8D880D06B262A94DEEEE4B4659989C3D0CAF19BAF6405E41AB7DF"
"DigiCert","VeriSign Universal Root Certification Authority","Blocked","","Not Included","Included","Client Authentication;Secure Email;Time Stamping","Removed","","2399561127A57125DE8CEFEA610DDF2FA078B5C8067F4E828290BFB860E84B3C"
"DigiCert","Verizon Global Root CA","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Not Yet Included","","68AD50909B04363C605EF13581A939FF2C96372E3F12325B0A6861E1D59F6603"
"Digidentity B.V.","Digidentity Services Root CA","Not Included","","Not Included","NotBefore","","Not Yet Included","","E28097721A8CAB8880AF80FDEF8902B1F15BC7473AD68EC22991257A910D9EA2"
"DigitalSign - Certificadora Digital, S.A","DIGITALSIGN GLOBAL ROOT ECDSA CA","Not Included","","Not Included","Not Included","","Included","Email","261D7114AE5F8FF2D8C7209A9DE4289E6AFC9D717023D85450909199F1857CFE"
