"CA Owner","Certificate Name","Apple Status","Apple Trust Bits","Google Chrome Status","Microsoft Status","Microsoft EKUs For DTBs","Mozilla Status","Mozilla Trust Bits","SHA-256 Fingerprint"
"Inera AB (SITHS)","SITHS Root CA v1","Not Included","","Not Included","NotBefore","","Not Yet Included","","FC50B26BDC4A8FDF1344CC80157AE13AC671E2706FACFC0605FE34E249EB72D6"
"Internet Security Research Group","ISRG Root X1","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication","Included","Websites","96BCEC06264976F37460779ACF28C5A7CFE8A3C0AAE11A8FFCEE05C0BDDF08C6"
"Internet Security Research Group","ISRG Root X2","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication","Included","Websites","69729B8E15A86EFC177A57AFB7171DFC64ADD28C2FCA8CF1507E34453CCB1470"
"iTrusChina Co., Ltd.","vTrus ECC Root CA","Not Included","","Included","Not Included","","Included","Websites","30FBBA2C32238E2A98547AF97931E550428B9B3F1C8EEB6633DCFA86C5B27DD3"
"iTrusChina Co., Ltd.","vTrus Root CA","Not Included","","Included","Not Included","","Included","Websites","8A71DE6559336F426C26E53880D00D88A18DA4C6A91F0DCB6194E206C5C96387"
"Izenpe S.A.","Izenpe.com","Blocked","","Not Included","NotBefore","","Not Yet Included","","23804203CA45D8CDE716B8C13BF3B448457FA06CC10250997FA01458317C41E5"
"Izenpe S.A.","Izenpe.com","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication","Included","Websites","2530CC8E98321502BAD96F9B1FBA1B099E2D299E0F4548BB914F363BC0D4531F"
"Korea Information Security Agency (KISA)","KISA RootCA 1","Blocked","","Not Included","NotBefore","","Not Yet Included","","6FDB3F76C8B801A75338D8A50A7C02879F6198B57E594D318D3832900FEDCD79"
"Krajowa Izba Rozliczeniowa S.A. (KIR)","SZAFIR ROOT CA","Blocked","","Not Included","NotBefore","","Not Yet Included","","FABCF5197CDD7F458AC33832D3284021DB2425FD6BEA7A2E69B7486E8F51F9CC"
"Krajowa Izba Rozliczeniowa S.A. (KIR)","SZAFIR ROOT CA2","Not Included","","Included","Included","Server Authentication;Client Authentication;Secure Email","Included","Websites;Email","A1339D33281A0B56E557D3D32B1CE7F9367EB094BD5FA72A7E5004C8DED7CAFE"
"LAWtrust","LAWtrust Root Certification Authority 2048","Not Included","","Not Included","Included","Client Authentication;Secure Email","Not Yet Included","","9B14E8F5F6EA167666E76DCD6BECC190861D5E8970B99A9470F0231236049704"
"LuxTrust","LuxTrust Global Root 2","Not Included","","Not Included","NotBefore","","Removed","","54455F7129C20B1447C418F997168F24C58FC5023BF5DA5BE2EB6E1DD8902ED5"
"Macao Post and Telecommunications Bureau","eSignTrust Root Certification Authority (G03)","Not Included","","Not Included","Included","Client Authentication;Document Signing;Secure Email;Time Stamping","Not Yet Included","","0E30D04A94DCC423E26FDC4C24AFCF4923BD80D83B661B06A2F5856361560407"
"Microsec Ltd.","e-Szigno Root CA 2017","Not Included","","Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","Included","Websites;Email","BEB00B30839B9BC32C32E4447905950641F26421B15ED089198B518AE2EA1B99"
"Microsec Ltd.","Microsec e-Szigno Root CA 2009","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Included","Websites;Email","3C5F81FEA5FAB82C64BFA2EAECAFCDE8E077FC8620A7CAE537163DF36EDBF378"
"Microsoft Corporation","Microsoft ECC Product Root Certificate Authority 2018","Not Included","","Not Included","Included","","Not Yet Included","","CACA93B9D23D2B6FA76E8B8471931E0DF3EC6F63AF3CDBB936C41954A1872326"
"Microsoft Corporation","Microsoft ECC Root Certificate Authority 2017","Included","TLS Server;TLS Client","Included","Included","Server Authentication;Client Authentication","Included","Websites","358DF39D764AF9E1B766E9C972DF352EE15CFAC227AF6AD1D70E8E4A6EDCBA02"
"Microsoft Corporation","Microsoft ECC TS Root Certificate Authority 2018","Not Included","","Not Included","Included","","Not Yet Included","","3FD4BE8BAAD2F26E1BDE06C7584BB720DD1A972D111F5A4999BC44B08FB4960D"
"Microsoft Corporation","Microsoft Identity Verification Root Certificate Authority 2020","Not Included","","Not Included","Included","Code Signing;Time Stamping","Not Yet Included","","5367F20C7ADE0E2BCA790915056D086B720C33C1FA2A2661ACF787E3292E1270"
"Microsoft Corporation","Microsoft Root Certificate Authority 2010","Not Included","","Not Included","Included","","Not Yet Included","","DF545BF919A2439C36983B54CDFC903DFA4F37D3996D8D84B4C31EEC6F3C163E"
"Microsoft Corporation","Microsoft Root Certificate Authority 2011","Not Included","","Not Included","Included","","Not Yet Included","","847DF6A78497943F27FC72EB93F9A637320A02B561D0A91B09E87A7807ED7C61"
"Microsoft Corporation","Microsoft RSA Root Certificate Authority 2017","Included","TLS Server;TLS Client","Included","Included","Server Authentication;Client Authentication","Included","Websites","C741F70F4B2A8D88BF2E71C14122EF53EF10EBA0CFA5E64CFA20F418853073E0"
"Microsoft Corporation","Microsoft Time Stamp Root Certificate Authority 2014","Not Included","","Not Included","Included","Time Stamping","Not Yet Included","","65AF95F4BE86847344634282F941B2E605063EF0C8542F014CA088D182109E4F"
"MULTICERT","MULTICERT Root Certification Authority 01","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Document Signing;Encrypting File System;Secure Email;Time Stamping","Not Yet Included","","604D32D036895AED3BFEFAEB727C009EC0F2B3CDFA42A1C71730E6A72C3BE9D4"
"NAVER Cloud","NAVER Global Root Certification Authority","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Document Signing;Secure Email","Included","Websites","88F438DCF8FFD1FA8F429115FFE5F82AE1E06E0C70C375FAAD717B34A49E7265"
"Netlock","NetLock Arany (Class Gold) Főtanúsítvány","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Included","Websites;Email","6C61DAC3A2DEF031506BE036D2A6FE401994FBD13DF9C8D466599274C446EC98"
"Netlock","NetLock Platina (Class Platinum) Főtanúsítvány","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Not Yet Included","","EB7E05AA58E7BD328A282BF8867033F3C035342B516EE85C01673DFFFFBBFE58"
"Netrust Pte Ltd","Netrust Root CA 2","Not Included","","Not Included","Included","Server Authentication;Client Authentication;IP Security IKE Intermediate;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Not Yet Included","","65353833CF234C79562164F90849C0D104DBABF8EE41064D83E8CBE03BA1C5A5"
"Nets DanID","TRUST2408 OCES Primary CA","Blocked","","Not Included","Included","Client Authentication;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email","Not Yet Included","","92D8092EE77BC9208F0897DC05271894E63EF27933AE537FB983EEF0EAE3EEC8"
"Network Solutions","Network Solutions Certificate Authority","Not Included","","Removed","NotBefore","","Not Yet Included","","001686CD181F83A1B1217D305B365C41E3470A78A1D37B134A98CD547B92DAB3"
"Network Solutions","Network Solutions Certificate Authority","Included","TLS Server;TLS Client;Email","Not Included","Removed","","Removed","","15F0BA00A3AC7AF3AC884C072B1011A077BD77C097F40164B2F8598ABD83860C"
"Network Solutions","Network Solutions ECC Certificate Authority","Not Included","","Not Included","NotBefore","","Not Yet Included","","2193CFEA381211A1AEAA2DE984E630643A87160B1208118145EAFB8E1BC69958"
"Network Solutions","Network Solutions RSA Certificate Authority","Not Included","","Not Included","NotBefore","","Not Yet Included","","DDBF149733BC2BF8A09D7F012B01A6DEA11D7BAE26713783EF6407A2495BF189"
"NISZ Nemzeti Infokommunikációs Szolgáltató Zrt.","Főtanúsítványkiadó - Kormányzati Hitelesítés Szolgáltató","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Document Signing;Encrypting File System;Secure Email;Time Stamping","Not Yet Included","","C2157309D9AEE17BF34F4DF5E88DBAEBA57E0361EB814CBC239F4D54D329A38D"
"Notarius","Notarius Root Certificate Authority","Not Included","","Not Included","Included","Client Authentication;Document Signing;Secure Email","Not Yet Included","","C7B8948FECCAACE5B509A343F38D0301D07901885604B3F267270E1EBBEF0FE7"
"Notarius","Notarius Root Certificate Authority","Not Included","","Not Included","Included","Client Authentication;Document Signing;Secure Email;Time Stamping","Not Yet Included","","AAA15BDDB1C924AD7A7F22F89E5CD3E2C61407A064E011B7CF4CB618716449A4"
"OISTE","OISTE WISeKey Global Root GA CA","Included","Email","Not Included","Included","Client Authentication;Secure Email;Time Stamping","Included","Email","41C923866AB4CAD6B7AD578081582E020797A6CBDF4FFF78CE8396B38937D7F5"
"OISTE","OISTE WISeKey Global Root GB CA","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Included","Websites;Email","6B9C08E86EB0F767CFAD65CD98B62149E5494A67F5845E7BD1ED019F27B86BD6"
"OISTE","OISTE WISeKey Global Root GC CA","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Document Signing;Secure Email;Time Stamping","Included","Websites;Email","8560F91C3624DABA9570B5FEA0DBE36FF11A8323BE9486854FB3F34A5571198D"
"Open Access Technology International, Inc. (OATI)","OATI WebCARES Root CA","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Secure Email","Not Yet Included","","7A77C6C61EEEB9AA65C4EA410D65D895B26A81123283009DB104B48DE80B2479"
"Post of Serbia","Posta CA Root","Not Included","","Not Included","NotBefore","","Not Yet Included","","CD201256FE5CED0BFFF8DF595FFF36B1416D5313A999F532EF4A9915DF96DEE0"
"PostSignum","PostSignum Root QCA 2","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Not Yet Included","","AD016F958050E0E7E46FAE7DCC50197ED8E3FF0A4B262E5DDCDB3EDDDC7D6578"
"PostSignum","PostSignum Root QCA 4","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Document Signing;Secure Email;Time Stamping","Not Yet Included","","AC7F7862E685C7A7D9826A58EA32D183D4893FCC8F8FD6D900C9769A987E77F0"
"První certifikační autorita, a.s.","I.CA Root CA/ECC 05/2022","Not Included","","Not Included","Included","Client Authentication;Document Signing;Secure Email;Time Stamping","Not Yet Included","","3808CE3E961CA532682FFB8708B544E8F175AA065601A45902DF92128FC38532"
"První certifikační autorita, a.s.","I.CA Root CA/ECC 12/2016","Not Included","","Not Included","Included","Client Authentication;Document Signing;Secure Email","Not Yet Included","","B8692148FF49C3799FA2347AE28BCC5289623512B67DC19170452ADE24BA51D5"
"První certifikační autorita, a.s.","I.CA Root CA/RSA","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Document Signing;Secure Email;Time Stamping","Not Yet Included","","D3D607A9FF24A19523B6DA9D2C649446F8788CB96D9FD130972E120C13677730"
"První certifikační autorita, a.s.","I.CA Root CA/RSA 05/2022","Not Included","","Not Included","Included","Client Authentication;Document Signing;Secure Email;Time Stamping","Not Yet Included","","D279C01A12E8DD9A6230E459FAA447CEB336998477338C2EE4135C96737418EB"
"První certifikační autorita, a.s.","I.CA TLS Root CA/RSA 05/2022","Not Included","","Not Included","Included","Server Authentication;Client Authentication","Not Yet Included","","F9A17A00E5C294BA9614A715819AF57F3FD48CC413453FBB8A5FC7E97964E2BC"
"QuoVadis","QuoVadis Root CA 1 G3","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Included","Websites;Email","8A866FD1B276B57E578E921C65828A2BED58E9F2F288054134B7F1F4BFC9CC74"
"QuoVadis","QuoVadis Root CA 2","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Websites;Email","85A0DD7DD720ADB7FF05F83D542B209DC7FF4528F7D677B18389FEA5E5C49E86"
"QuoVadis","QuoVadis Root CA 2 G3","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Websites","8FE4FB0AF93A4D0D67DB0BEBB23E37C71BF325DCBCDD240EA04DAF58B47E1840"
"QuoVadis","QuoVadis Root CA 3","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Included","Websites;Email","18F1FC7F205DF8ADDDEB7FE007DD57E3AF375A9C4D8D73546BF4F1FED1E18D35"
"QuoVadis","QuoVadis Root CA 3 G3","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Included","Websites;Email","88EF81DE202EB018452E43F864725CEA5FBD1FC2D9D205730709C5D8B8690F46"
"SECOM Trust Systems CO., LTD.","SECOM Trust.net - Security Communication RootCA1","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Included","Websites;Email","E75E72ED9F560EEC6EB4800073A43FC3AD19195A392282017895974A99026B6C"
"SECOM Trust Systems CO., LTD.","Security Communication ECC RootCA1","Not Included","","Included","Included","Server Authentication;Client Authentication;Document Signing;Encrypting File System;Secure Email;Time Stamping","Included","Websites;Email","E74FBDA55BD564C473A36B441AA799C8A68E077440E8288B9FA1E50E4BBACA11"
"SECOM Trust Systems CO., LTD.","Security Communication RootCA2","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Websites;Email","513B2CECB810D4CDE5DD85391ADFC6C2DD60D87BB736D2B521484AA47A0EBEF6"
"SECOM Trust Systems CO., LTD.","Security Communication RootCA3","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Encrypting File System;Secure Email;Time Stamping","Included","Websites;Email","24A55C2AB051442D0617766541239A4AD032D7C55175AA34FFDE2FBC4F5C5294"
"Sectigo","AAA Certificate Services","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Included","Websites;Email","D7A7A0FB5D7E2731D771E9484EBCDEF71D5F0C3E0A2948782BC83EE0EA699EF4"
"Sectigo","COMODO Certification Authority","Included","TLS Server;TLS Client;Email","Not Included","Removed","","Included","Websites;Email","0C2CD63DF7806FA399EDE809116B575BF87989F06518F9808C860503178BAF66"
"Sectigo","COMODO Certification Authority","Not Included","","Included","Included","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Not Yet Included","","1A0D20445DE5BA1862D19EF880858CBCE50102B36E8F0A040C3C69E74522FE6E"
"Sectigo","COMODO ECC Certification Authority","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Included","Websites;Email","1793927A0614549789ADCE2F8F34F7F0B66D0F3AE3A3B84D21EC15DBBA4FADC7"
"Sectigo","COMODO RSA Certification Authority","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Included","Websites;Email","52F0E1C4E58EC629291B60317F074671B85D7EA80D5B07273463534B32B40234"
"Sectigo","Sectigo Public Document Signing Root E46","Not Included","","Not Included","Included","Document Signing","Not Yet Included","","01A1A03E1F3DD7ED3CCADAE4D668B4446065DDF3B2DCF05D1DAFFDB2591B3838"
"Sectigo","Sectigo Public Document Signing Root R46","Not Included","","Not Included","Included","Document Signing","Not Yet Included","","43A61038597C31F4E7D75DEEB831E38462D968308C68B5A078F719139735DA89"
"Sectigo","Sectigo Public Email Protection Root E46","Not Included","","Not Included","Included","Client Authentication;Secure Email","Not Yet Included","","22D9599234D60F1D4BC7C7E96F43FA555B07301FD475175089DAFB8C25E477B3"
"Sectigo","Sectigo Public Email Protection Root R46","Not Included","","Not Included","Included","Client Authentication;Secure Email","Not Yet Included","","D5917A7791EB7CF20A2E57EB98284A67B28A57E89182DA53D546678C9FDE2B4F"
"Sectigo","Sectigo Public Server Authentication Root E46","Not Included","","Not Included","Included","Server Authentication;Client Authentication","Not Yet Included","","C90F26F0FB1B4018B22227519B5CA2B53E2CA5B3BE5CF18EFE1BEF47380C5383"
"Sectigo","Sectigo Public Server Authentication Root R46","Not Included","","Not Included","Included","Server Authentication;Client Authentication","Not Yet Included","","7BB647A62AEEAC88BF257AA522D01FFEA395E0AB45C73F93F65654EC38F25A06"
"Sectigo","Sectigo Public Time Stamping Root E46","Not Included","","Not Included","Included","Time Stamping","Not Yet Included","","E44DDB7952261F15005CD60C1D0C38C18CBFD17C273A31F8ED4C8F53E2685F32"
"Sectigo","Sectigo Public Time Stamping Root R46","Not Included","","Not Included","Included","Time Stamping","Not Yet Included","","4941B001B8A97E961B7817C9D9E960EC4B056BFC915A8C1AABF6EF6B3AC046A5"
"Sectigo","USERTrust ECC Certification Authority","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Included","Websites;Email","4FF460D54B9C86DABFBCFC5712E0400D2BED3FBC4D4FBDAA86E06ADCD2A9AD7A"
"Sectigo","USERTrust RSA Certification Authority","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Included","Websites;Email","E793C9B02FD8AA13E21C31228ACCB08119643B749C898964B1746D46C3D4CBD2"
"Shanghai Electronic Certification Authority Co., Ltd.","UCA Extended Validation Root","Not Included","","Included","Included","Server Authentication;Client Authentication;Code Signing","Included","Websites","D43AF9B35473755C9684FC06D7D8CB70EE5C28E773FB294EB41EE71722924D24"
"Shanghai Electronic Certification Authority Co., Ltd.","UCA Global G2 Root","Not Included","","Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Secure Email;Time Stamping","Included","Websites;Email","9BEA11C976FE014764C1BE56A6F914B5A560317ABD9988393382E5161AA0493C"
"SI-TRUST","SI-TRUST Root","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Document Signing;Secure Email;Time Stamping","Not Yet Included","","FAD540811AFAE0DC767CDF6572A088FA3CE8493DD82B3B869A67D10AAB4E8124"
"SK ID Solutions AS","EE Certification Centre Root CA","Not Included","","Not Included","NotBefore","","Removed","","3E84BA4342908516E77573C0992F0979CA084E4685681FF195CCBA8A229B8A76"
"SSL.com","SSL.com EV Root Certification Authority ECC","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Encrypting File System;Secure Email;Time Stamping","Included","Websites","22A2C1F7BDED704CC1E701B5F408C310880FE956B5DE2A4A44F99C873A25A7C8"
"SSL.com","SSL.com EV Root Certification Authority RSA R2","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Encrypting File System;Secure Email;Time Stamping","Included","Websites","2E7BF16CC22485A7BBE2AA8696750761B0AE39BE3B2FE9D0CC6D4EF73491425C"
"SSL.com","SSL.com Root Certification Authority ECC","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Encrypting File System;Secure Email;Time Stamping","Included","Websites;Email","3417BB06CC6007DA1B961C920B8AB4CE3FAD820E4AA30B9ACBC4A74EBDCEBC65"
"SSL.com","SSL.com Root Certification Authority RSA","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Document Signing;Encrypting File System;Secure Email;Time Stamping","Included","Websites;Email","85666A562EE0BE5CE925C1D8890A6F76A87EC16D4D7D5F29EA7419CF20123B69"
"Swiss BIT, Swiss Federal Office of Information Technology, Systems and Telecommunication (FOITT)","Swiss Government Root CA I","Not Included","","Not Included","Included","Client Authentication;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Not Yet Included","","6EC6614E9A8EFD47D6318FFDFD0BF65B493A141F77C38D0B319BE1BBBC053DD2"
"SwissSign AG","SwissSign Gold CA - G2","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Secure Email","Included","Websites;Email","62DD0BE9B9F50A163EA0F8E75C053B1ECA57EA55C8688F647C6881F2C8357B95"
"SwissSign AG","SwissSign Platinum CA - G2","Included","TLS Client;Email","Not Included","NotBefore","","Removed","","3B222E566711E992300DC0B15AB9473DAFDEF8C84D0CEF7D3317B4C1821D1436"
"SwissSign AG","SwissSign Silver CA - G2","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Secure Email","Included","Websites;Email","BE6C4DA2BBB9BA59B6F3939768374246C3C005993FA98F020D1DEDBED48A81D5"
"Taiwan-CA Inc. (TWCA)","TWCA Global Root CA","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Secure Email","Included","Websites;Email","59769007F7685D0FCD50872F9F95D5755A5B2B457D81F3692B610A98672F0E1B"
"Taiwan-CA Inc. (TWCA)","TWCA Root Certification Authority","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Encrypting File System;IP Security Tunnel Termination;IP Security User;Secure Email;Time Stamping","Included","Websites;Email","BFD88FE1101C41AE3E801BF8BE56350EE9BAD1A6B9BD515EDC5C6D5B8711AC44"
"Telekom Applied Business Malaysia (TMCA)","TM Applied Business Root Certificate","Not Included","","Not Included","NotBefore","","Not Yet Included","","A9C77AF1BCDFAA3739442B0B2734C68EAF2E9833F0D766FBCAA6F2AEB42DEC02"
"Telia Company","Telia Root CA v2","Not Included","","Included","Included","Server Authentication;Client Authentication;Document Signing;Secure Email","Included","Websites;Email","242B69742FCB1E5B2ABF98898B94572187544E5B4D9911786573621F6A74B82C"
"Telia Company","TeliaSonera Root CA v1","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Included","Websites;Email","DD6936FE21F8F077C123A1A521C12224F72255B73E03A7260693E8A24B0FA389"
"Thailand National Root Certificate Authority (Electronic Transactions Development Agency)","Thailand National Root Certification Authority - G1","Not Included","","Not Included","Included","Server Authentication;Client Authentication;Document Signing;Encrypting File System;Secure Email;Time Stamping","Not Yet Included","Websites","2A8DA2F8D23E0CD3B5871ECFB0F42276CA73230667F474EEDE71C5EE32CC3EC6"
"TrustCor Systems","TrustCor ECA-1","Blocked","","Blocked","NotBefore","","Included","Websites;Email","5A885DB19C01D912C5759388938CAFBBDF031AB2D48E91EE15589B42971D039C"
"TrustCor Systems","TrustCor RootCert CA-1","Blocked","","Blocked","NotBefore","","Included","Websites;Email","D40E9C86CD8FE468C1776959F49EA774FA548684B6C406F3909261F4DCE2575C"
"TrustCor Systems","TrustCor RootCert CA-2","Blocked","","Blocked","NotBefore","","Included","Websites;Email","0753E940378C1BD5E3836E395DAEA5CB839E5046F1BD0EAE1951CF10FEC7C965"
"TrustFactory(Pty)Ltd","TrustFactory Client Root Certificate Authority","Not Included","","Not Included","Included","Client Authentication;Document Signing;Secure Email","Not Yet Included","","92C4DB06C42A130D663574D7741B7F93C806FD6714DCE890E84B568FAE86E64C"
"TrustFactory(Pty)Ltd","TrustFactory SSL Root Certificate Authority","Not Included","","Not Included","NotBefore","","Not Yet Included","","608142DA5C675DD47C1AA3A26EE329E24E81D5FF3B94017BC1C1A0C37DB4C1A0"
"Trustis","Trustis Limited - Trustis FPS Root CA","Blocked","","Not Included","NotBefore","","Removed","","C1B48299ABA5208FE9630ACE55CA68A03EDA5A519C8802A0D3A673BE8F8E557D"
"Viking Cloud, Inc.","Secure Global CA","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Included","Websites;Email","4200F5043AC8590EBB527D209ED1503029FBCBD41CA1B506EC27F15ADE7DAC69"
"Viking Cloud, Inc.","SecureTrust CA","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Websites","F1C1B50AE5A20DD8030EC9F6BC24823DD367B5255759B4E71B61FCE9F7375D73"
"Viking Cloud, Inc.","Trustwave Global Certification Authority","Not Included","","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Websites;Email","97552015F5DDFC3C8788C006944555408894450084F100867086BC1A2BB58DC8"
"Viking Cloud, Inc.","Trustwave Global ECC P256 Certification Authority","Not Included","","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Websites;Email","945BBC825EA554F489D1FD51A73DDF2EA624AC7019A05205225C22A78CCFA8B4"
"Viking Cloud, Inc.","Trustwave Global ECC P384 Certification Authority","Not Included","","Included","Included","Server Authentication;Client Authentication;Code Signing;Secure Email;Time Stamping","Included","Websites;Email","55903859C8C0C3EBB8759ECE4E2557225FF5758BBD38EBD48276601E1BD58097"
"Viking Cloud, Inc.","XRamp Global Certification Authority","Included","TLS Server;TLS Client;Email","Included","Included","Server Authentication;Client Authentication;Secure Email;Time Stamping","Included","Websites;Email","CECDDC905099D8DADFC5B1D209B737CBE2C18CFB2C10C0FF0BCF0D3286FC1AA2"
"Visa","Visa eCommerce Root","Included","TLS Server;TLS Client;Email","Not Included","Disabled","","Removed","","69FAC9BD55FB0AC78D53BBEE5CF1D597989FD0AAAB20A25151BDF1733EE7D122"
"Visa","Visa Information Delivery Root CA","Included","TLS Server;TLS Client;Email","Not Included","Included","Server Authentication;Client Authentication;Secure Email","Not Yet Included","","C57A3ACBE8C06BA1988A83485BF326F2448775379849DE01CA43571AF357E74B"
"Visa","Visa Public ECC Root CA","Not Included","","Not Included","Included","Server Authentication;Client Authentication","Not Yet Included","","E6BE68CE06FE0DA0C140F1AEB00B67B636C5EEA9422088929362375CE086DB39"
"Visa","Visa Public RSA Root CA","Not Included","","Not Included","Included","Server Authentication;Client Authentication","Not Yet Included","","07CD9AA9064A9B94C6AEF8FB784C1BBC1BEDA08ACBE86878D781A39167626CF8"
"Zetes","ZETES TSP ROOT CA 001","Not Included","","Not Included","Included","Client Authentication;Document Signing;Secure Email;Time Stamping","Not Yet Included","","016E1DCD5F78841BBEBBAE9DDEA08C8D7EC54E698E95BB778ECDD1E10D8BF4F9"